path,filename,modified,size,sha256,root
.,NDEV-060519_jp-RC1.zip,2006-06-27 19:50:12,2706.4KB,01781b85adb630f4808f1fa4b5b790c0861929ced6ae00c8ef77f5749663d038,NDEV-060531_jp
NDEV-060531_jp,ChangeLog_jp.txt,2006-05-31 11:30:32,4.77KB,4b7aa884ebe416f261b8d5f540f0887baecac5aebec95492611fd45df69c9a2c,NDEV-060531_jp
NDEV-060531_jp,NDEV-Software.jp.pdf,2006-05-26 18:21:56,1684.55KB,bddb1e6808ce1c311d46a6a3c759378260488c51155b1b94a9a93f8070cf6bd1,NDEV-060531_jp
NDEV-060531_jp,readme_jp.txt,2006-05-31 14:49:14,5.38KB,e6b58d6485a3b5511c9e369d541b17110174458bffeba0514a0f768a8a7e96f9,NDEV-060531_jp
NDEV-060531_jp\ND-Drivers-060502,DITOUSB.inf,2006-05-02 11:31:58,1.42KB,9ae3d81df811a64413a4d30b40334157d3007674eb70c389973527cb2f9cb1ad,NDEV-060531_jp
NDEV-060531_jp\ND-Drivers-060502,DITOUSB.sys,2006-05-02 11:31:44,170.25KB,09b375c221420317436eea2d30e511c501462a1f9a64122c9c2003de8d69340e,NDEV-060531_jp
NDEV-060531_jp\ND-Drivers-060502,EXITOUSB.inf,2006-04-11 11:00:34,1.43KB,62c00bbd6cddc4051a7e1aecb32f3cb2869d8625ff211e57cd322f5e81f62650,NDEV-060531_jp
NDEV-060531_jp\ND-Drivers-060502,EXITOUSB.sys,2006-04-12 09:39:50,175.88KB,727023071689d46d4f739fa0318fe4ac230545cf2beeb1422ca68971c1e55100,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,data1.cab,2006-05-26 16:16:34,523.0KB,225188efaa81215fa639f583cf9c1a860c2872dad18b4d8c251d6f99529aa264,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,data1.hdr,2006-05-26 16:16:36,14.08KB,dc90bccc8c04773acec490e5217b7f3e6e5cea7716bdcc5cf34695621ddab3e7,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,data2.cab,2006-05-26 16:16:36,1500.05KB,cd0f6191f4bcd0a5a9125c3c4abe0dd298f3bca4a987a6c65e926307235546ef,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,ikernel.ex_,2002-07-26 01:07:36,338.48KB,fbf95719b956b548b947436e29feb18bb884e01f75ae31b05c030ebd76605249,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,layout.bin,2006-05-26 16:16:36,0.41KB,de0498ba174cdf3a40ac3cc9573dff485370c25c686037fc9aea5eafdbc8000d,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,Setup.exe,2001-09-05 03:23:24,55.0KB,ab9e0291a763efc32e84e7117f9a0fbc99b681c96df0bb27a66433a726667e5c,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,Setup.ini,2006-05-26 16:16:34,0.16KB,4c8bb3d18bd0bacbb34e1be561c09e357da2d0b39629eae7aab999cb18a8e96f,NDEV-060531_jp
NDEV-060531_jp\ND-Installer-060531,setup.inx,2006-03-10 10:50:54,133.9KB,edcc6abcc23ee71b48482b88c918443d51e4a99f6b2b96f97f9a5d160d63da41,NDEV-060531_jp
